timestamp,duration,presses,clicks,deltaX,deltaY,scrollX,scrollY
2026-06-09 18:03:30.004000+00:00,0:00:05.000052,4,1,221,356,0,0
2026-06-09 18:03:25.004000+00:00,0:00:04.999952,0,0,0,0,0,0
2026-06-09 18:03:20.004000+00:00,0:00:05.000018,2,1,581,456,0,2
2026-06-09 18:03:15.004000+00:00,0:00:05.000053,0,1,1229,317,0,1
2026-06-09 18:03:10.006000+00:00,0:00:04.998162,0,0,1881,474,0,0
2026-06-09 18:03:05.004000+00:00,0:00:05.001767,0,1,969,445,0,8
2026-06-09 18:02:40.004000+00:00,0:00:24.999956,0,0,0,0,0,0
2026-06-09 18:02:35.004000+00:00,0:00:04.999977,1,1,944,405,0,0
2026-06-09 18:02:30.004000+00:00,0:00:05.000014,0,4,2039,328,0,1
2026-06-09 18:02:25.004000+00:00,0:00:04.999908,0,2,1325,218,0,0
2026-06-09 18:02:20.004000+00:00,0:00:04.999802,0,2,2085,1096,0,0
2026-06-09 18:02:15.009000+00:00,0:00:04.995375,0,2,739,474,0,0
2026-06-09 18:02:10.004000+00:00,0:00:05.004919,2,1,1019,344,0,9
2026-06-09 18:02:05.004000+00:00,0:00:04.999899,0,0,225,180,0,25
2026-06-09 18:02:00.004000+00:00,0:00:04.999793,8,0,358,422,0,0
2026-06-09 18:01:55.005000+00:00,0:00:04.999193,0,2,681,584,0,0
2026-06-09 18:01:50.004000+00:00,0:00:05.000744,0,2,1749,577,0,5
2026-06-09 18:01:45.005000+00:00,0:00:04.999258,0,2,1917,123,0,3
2026-06-09 18:01:40.004000+00:00,0:00:05.000846,0,4,1080,185,0,0
2026-06-09 18:01:35.004000+00:00,0:00:05.000269,0,1,1143,465,0,5
2026-06-09 18:01:30.004000+00:00,0:00:04.999785,0,0,1506,659,0,5
2026-06-09 18:01:25.004000+00:00,0:00:04.999534,0,1,481,416,0,7
2026-06-09 18:01:20.004000+00:00,0:00:05.000732,0,2,1468,437,0,0
2026-06-09 18:01:15.006000+00:00,0:00:04.997595,0,1,2076,565,0,4
2026-06-09 18:01:10.005000+00:00,0:00:05.000922,0,3,1711,485,0,5
2026-06-09 18:01:05.004000+00:00,0:00:05.001516,0,0,320,162,0,20
2026-06-09 18:01:00.004000+00:00,0:00:04.999921,0,2,1289,435,0,0
2026-06-09 18:00:55.004000+00:00,0:00:05.000026,0,0,1619,729,0,0
2026-06-09 18:00:50.006000+00:00,0:00:04.997431,0,2,2062,565,0,3
2026-06-09 18:00:45.004000+00:00,0:00:05.002568,0,2,750,408,0,1
2026-06-09 18:00:40.004000+00:00,0:00:04.999924,0,0,1948,1157,0,0
2026-06-09 17:46:50.001000+00:00,0:13:50.003016,0,0,0,0,0,0
2026-06-09 17:46:45.004000+00:00,0:00:04.997480,0,0,292,300,0,0
2026-06-09 17:41:05.004000+00:00,0:05:40.000291,0,0,0,0,0,0
2026-06-09 17:41:00.004000+00:00,0:00:05.000466,0,1,731,284,0,0
2026-06-09 17:40:55.004000+00:00,0:00:04.999973,2,1,1296,1319,0,0
2026-06-09 17:40:50.004000+00:00,0:00:05.000023,1,0,365,174,0,28
2026-06-09 17:40:45.004000+00:00,0:00:04.999288,0,2,2183,931,0,4
2026-06-09 17:40:40.004000+00:00,0:00:05.000764,0,0,138,132,0,0
2026-06-09 17:39:25.005000+00:00,0:01:14.998968,0,0,0,0,0,0
2026-06-09 17:39:20.004000+00:00,0:00:05.000857,1,0,1,3,0,0
2026-06-09 17:39:15.004000+00:00,0:00:04.999446,2,1,539,370,0,0
2026-06-09 17:39:10.004000+00:00,0:00:05.000576,1,2,626,390,0,0
2026-06-09 17:39:05.004000+00:00,0:00:04.999949,0,4,1521,1107,0,0
2026-06-09 17:39:00.004000+00:00,0:00:04.999962,0,0,363,215,0,10
2026-06-09 17:38:55.004000+00:00,0:00:04.999754,0,1,831,131,0,31
2026-06-09 17:38:50.004000+00:00,0:00:05.000294,0,0,298,187,0,3
2026-06-09 17:37:30.004000+00:00,0:01:19.999893,0,0,0,0,0,0
2026-06-09 17:37:25.004000+00:00,0:00:04.999970,0,1,516,46,0,0
2026-06-09 17:37:20.004000+00:00,0:00:04.999851,0,2,1741,484,0,0
2026-06-09 17:37:15.004000+00:00,0:00:05.000016,0,0,672,584,0,0
2026-06-09 17:36:05.004000+00:00,0:01:09.999901,0,0,0,0,0,0
2026-06-09 17:36:00.005000+00:00,0:00:04.998873,0,0,376,361,0,0
2026-06-09 17:35:05.004000+00:00,0:00:55.000958,0,0,0,0,0,0
2026-06-09 17:35:00.004000+00:00,0:00:05.000071,0,0,333,131,0,0
2026-06-09 17:34:55.004000+00:00,0:00:04.999961,0,1,829,365,0,10
2026-06-09 17:34:50.004000+00:00,0:00:04.999476,0,1,582,763,0,6
2026-06-09 17:34:45.004000+00:00,0:00:05.000548,0,1,847,488,0,0
2026-06-09 17:34:40.004000+00:00,0:00:04.999996,0,1,1672,238,0,7
2026-06-09 17:34:35.004000+00:00,0:00:04.999938,0,0,326,251,0,7
2026-06-09 17:34:30.004000+00:00,0:00:05.000050,0,0,233,213,0,13
2026-06-09 17:34:25.004000+00:00,0:00:04.999779,0,0,493,288,0,4
2026-06-09 17:34:20.004000+00:00,0:00:05.000023,0,1,1638,539,0,0
2026-06-09 17:30:40.004000+00:00,0:03:40.000025,0,0,0,0,0,0
2026-06-09 17:30:35.004000+00:00,0:00:04.999993,0,0,645,584,0,4
2026-06-09 17:30:30.004000+00:00,0:00:05.000014,0,0,34,87,0,0
2026-06-09 17:30:25.004000+00:00,0:00:04.999966,0,1,1805,684,0,0
2026-06-09 17:30:20.004000+00:00,0:00:04.999823,0,0,18,118,0,0
